0006MARIA DA SILVA           123999999911012A1996ADS1234
0007LANA                     02975098022101011996ADS1234
0004ANNA LARA                07161620082101011996ADS1234MAF1010
0005JOSE ANTONIO             52467190064201011996ADS1234ADS1111
0002JOSE                     00883787059230052000ADS1234ADS1222ADS1222
0009ALEF                     39128348060201011996ADS1234CMP1077CMP1902MAF1010
0010DIVINO DIAS              99999999995201011996ADS1234CMP1077CMP1902MAF1010
0001JOAO                     02366549180205122004ADS1234ADS1233ADS1222MAF1010
0003FREDERIKO                37316182067201011996ADS1234ADS1233CMP1077CMP1902MAF1010
0008ALFREDO H. DOS SANTOS    99999999993201011996ADS1234ADS1233CMP1077CMP1902MAF1010
0008GUILHERME DOS SANTOS     99999999993201011996
